DateOnly,count
2004-10-23,2
2006-12-15,2
2009-06-14,4
2009-10-07,5
2009-10-08,4
2009-10-20,4
2009-11-04,4
2009-11-12,8
2009-11-21,5
2009-12-18,6
2009-12-30,5
2010-01-16,8
2010-02-14,3
2010-03-06,3
2010-03-07,13
2010-03-09,10
2010-03-10,6
2010-03-11,12
2010-03-12,17
2010-06-13,5
2010-08-29,5
2010-08-30,20
2010-09-08,2
2010-11-08,56
2010-11-09,62
2010-11-10,36
2010-11-11,50
2010-11-13,46
2010-11-14,4
2010-11-28,5
2010-11-29,37
2010-12-04,48
2010-12-05,21
2010-12-24,55
2010-12-27,46
2011-01-02,29
2011-01-03,24
2011-01-04,32
2011-01-09,64
2011-01-24,4
2011-01-30,36
2011-02-09,2
2011-02-13,39
2011-02-14,2
2011-02-16,44
2011-02-17,4
2011-03-20,28
2011-03-29,2
2011-04-03,5
2011-04-17,27
2011-04-22,32
2011-04-24,74
2011-04-29,2
2011-04-30,29
2011-05-01,69
2011-05-07,48
2011-05-08,66
2011-05-20,6
2011-05-21,4
2011-05-25,4
2011-05-26,2
2011-05-31,16
2011-06-01,26
2011-06-04,66
2011-06-06,22
2011-06-13,3
2011-06-14,38
2011-06-16,24
2011-06-18,60
2011-06-24,34
2011-06-25,32
2011-06-26,2
2011-07-01,28
2011-07-02,56
2011-07-06,26
2011-07-10,46
2011-07-24,57
2011-07-26,44
2011-07-30,12
2011-08-05,22
2011-08-06,5
2011-08-07,8
2011-08-08,48
2011-08-09,42
2011-08-10,24
2011-08-11,36
2011-08-12,6
2011-08-13,51
2011-08-19,38
2011-09-04,16
2011-09-10,26
2011-09-16,4
2011-09-25,4
2011-09-27,50
2011-09-28,64
2011-09-29,16
2011-09-30,40
2011-10-01,28
2011-10-02,48
2011-10-03,10
2011-10-06,2
2011-10-08,16
2011-10-09,28
2011-11-05,16
2011-11-12,12
2011-11-27,4
2011-12-03,40
2011-12-04,33
2011-12-08,16
2011-12-10,64
2011-12-11,42
2011-12-22,10
2011-12-23,24
2011-12-24,86
2011-12-25,20
2011-12-27,20
2011-12-31,8
2012-01-01,38
2012-01-02,4
2012-01-08,32
2012-01-14,24
2012-01-21,34
2012-01-25,4
2012-01-29,8
2012-02-04,2
2012-02-10,19
2012-02-11,40
2012-02-18,28
2012-02-19,30
2012-03-17,8
2012-03-18,12
2012-03-22,24
2012-03-31,64
2012-04-01,24
2012-04-07,38
2012-04-08,4
2012-04-14,20
2012-04-15,44
2012-05-05,28
2012-05-11,6
2012-05-12,24
2012-05-13,48
2012-05-14,4
2012-05-20,36
2012-05-21,20
2012-05-26,75
2012-06-09,41
2012-06-10,38
2012-06-16,38
2012-07-07,14
2012-07-21,20
2012-07-22,15
2012-07-23,25
2012-07-24,12
2012-07-25,26
2012-07-29,42
2012-07-30,38
2012-08-01,7
2012-08-02,33
2012-08-03,13
2012-08-05,10
2012-08-07,35
2012-08-26,8
2012-09-01,20
2012-09-28,10
2012-09-29,12
2012-10-13,2
2012-10-18,32
2012-10-19,108
2012-10-20,22
2012-10-29,42
2012-11-11,4
2012-12-16,26
2013-02-01,8
2013-02-02,38
2013-02-08,4
2013-02-09,8
2013-02-10,40
2013-02-19,26
2013-02-21,2
2013-03-30,26
2013-04-14,16
2013-04-21,4
2013-04-28,4
2013-05-04,2
2013-05-05,12
2013-05-17,16
2013-05-18,26
2013-05-22,4
2013-05-28,18
2013-06-09,12
2013-06-16,2
2013-06-17,12
2013-07-04,20
2013-07-08,24
2013-07-09,16
2013-07-11,4
2013-07-12,8
2013-07-13,12
2013-07-14,4
2013-08-12,20
2013-08-14,4
2013-08-16,12
2013-08-21,12
2013-08-24,4
2013-09-08,16
2013-09-15,22
2013-09-29,8
2013-10-06,26
2013-10-20,18
2013-11-02,4
2013-12-01,16
2014-01-26,4
2014-01-27,24
2014-03-01,12
2014-03-02,4
2014-03-03,16
2014-03-08,36
2014-03-23,4
2014-04-20,2
2014-05-10,68
2014-05-25,63
2014-07-19,18
2014-07-20,10
2014-08-02,54
2014-08-09,122
2014-08-24,76
2014-08-25,29
2014-09-27,66
2014-09-29,2
2014-11-10,100
2014-11-11,10
2014-11-12,2
2014-11-13,29
2014-11-23,2
2014-12-06,2
2014-12-14,8
2014-12-21,10
2015-07-26,2
2015-08-16,6
2016-05-15,2
2018-01-25,8
2018-02-04,2
2018-04-26,2
2018-05-02,6
2018-05-03,6
2018-05-04,2
2018-05-05,2
2018-05-07,18
2018-05-12,8
2018-05-13,2
2018-08-11,2
2018-08-31,12
2018-09-01,28
2018-10-12,10
2019-07-10,2
2019-08-08,6
2019-08-17,2
2019-09-30,2
2020-05-13,2
2020-08-15,20
2020-09-20,2
2021-05-12,6
2021-05-13,2
2022-02-22,2
2022-07-09,2
2022-08-20,2
2022-09-07,2
2022-10-04,6
2023-01-23,2
2023-03-23,30
2023-06-10,2
